Skill
Python
Java
C++
SQL
Machine Learning
Deep Learning
TensorFlow
PyTorch
Flask
Django
FastAPI
HTML
CSS
JavaScript
React
Node.js
MongoDB
MySQL
Git
GitHub
Docker
Kubernetes
AWS
Azure
Power BI
Tableau
Pandas
NumPy
Scikit-learn
OpenCV
NLP
LLM
LangChain
Hugging Face
